id,description,chart_template_id:id,type_tax_use,name,type,amount,account_collected_id:id,account_paid_id:id,base_code_id:id,tax_code_id:id,ref_base_code_id:id,ref_tax_code_id:id,tax_sign,base_sign,ref_base_sign,ref_tax_sign
1,ПДВ 20%,l10n_ua_lem8r,sale,Реалізація з ПДВ 20%,percent,0.2,1204,1204,1001,1000,1001,1000,1,1,-1,-1
2,ПДВ 7%,l10n_ua_lem8r,sale,Реалізація з ПДВ 7%,percent,0.07,1204,1204,1003,1002,1003,1002,1,1,-1,-1
3,ПДВ 0%,l10n_ua_lem8r,sale,Реалізація з ПДВ 0%,percent,,1204,1204,1004,,1004,,1,1,-1,-1
4,звільнено від ПДВ,l10n_ua_lem8r,sale,Реалізація звільнена від ПДВ,percent,,1204,1204,1005,,1005,,1,1,-1,-1
5,не є ПДВ,l10n_ua_lem8r,sale,Реалізація не є об’єктом ПДВ,percent,,1204,1204,1006,,1006,,1,1,-1,-1
6,ПДВ 20%,l10n_ua_lem8r,purchase,Придбання з ПДВ 20%,percent,0.2,1205,1205,1101,1100,1101,1100,1,1,-1,-1
7,ПДВ 7%,l10n_ua_lem8r,purchase,Придбання з ПДВ 7%,percent,0.07,1205,1205,1103,1102,1103,1102,1,1,-1,-1
8,ПДВ 0%,l10n_ua_lem8r,purchase,Придбання з ПДВ 0%,percent,,1205,1205,1104,,1104,,1,1,-1,-1
9,звільнено від ПДВ,l10n_ua_lem8r,purchase,Придбання звільнене від ПДВ,percent,,1205,1205,1105,,1105,,1,1,-1,-1
10,не є ПДВ,l10n_ua_lem8r,purchase,Придбання не є об’єктом ПДВ,percent,,1205,1205,1106,,1106,,1,1,-1,-1
