id,code,name,parent_id/id,user_type/id,type,reconcile
UA0,0,Компанія,,account.data_account_type_view,View,False
1,1,Баланс,UA0,account.data_account_type_view,View,False
10,10,Необоротні активи,1,account.data_account_type_view,View,False
100,100,Нематеріальні активи,10,account.data_account_type_view,View,False
1000,1000,Назви брендів,100,account.data_account_type_fixed_assets,Regular,False
1001,1001,Заголовки та назви видань,100,account.data_account_type_fixed_assets,Regular,False
1002,1002,Комп’ютерне програмне забезпечення,100,account.data_account_type_fixed_assets,Regular,False
1003,1003,Ліцензії та привілеї,100,account.data_account_type_fixed_assets,Regular,False
1004,1004,"Авторські права, патенти, та інші права",100,account.data_account_type_fixed_assets,Regular,False
1005,1005,Нематеріальні активи на етапі розробки,100,account.data_account_type_fixed_assets,Regular,False
1009,1009,Амортизація нематеріальних активів,100,account.data_account_type_fixed_assets,Regular,False
101,101,Основні засоби,10,account.data_account_type_view,View,False
1010,1010,Земля,101,account.data_account_type_fixed_assets,Regular,False
1011,1011,Будівлі,101,account.data_account_type_fixed_assets,Regular,False
1012,1012,Машини та обладнання,101,account.data_account_type_fixed_assets,Regular,False
1013,1013,Автомобілі,101,account.data_account_type_fixed_assets,Regular,False
1014,1014,Меблі та приладдя,101,account.data_account_type_fixed_assets,Regular,False
1015,1015,Офісне обладнання,101,account.data_account_type_fixed_assets,Regular,False
1019,1019,Амортизація основних засобів,101,account.data_account_type_fixed_assets,Regular,False
102,102,Гудвіл,10,account.data_account_type_view,View,False
1020,1020,Гудвіл,102,account.data_account_type_fixed_assets,Regular,False
103,103,Біологічні активи,10,account.data_account_type_view,View,False
1030,1030,Біологічні активи,103,account.data_account_type_fixed_assets,Regular,False
104,104,Інвестиції,10,account.data_account_type_view,View,False
1040,1040,Інвестиції,104,account.data_account_type_fixed_assets,Regular,False
11,11,Оборотні активи,1,account.data_account_type_view,View,False
110,110,Товаро-матеріальні запаси,11,account.data_account_type_view,View,False
1100,1100,Склад,110,account.data_account_type_current_assets,Regular,True
1101,1101,Незавершене виробництво,110,account.data_account_type_current_assets,Regular,False
1102,1102,Готова продукція,110,account.data_account_type_current_assets,Regular,False
111,111,Грошові кошти та їх еквіваленти,11,account.data_account_type_view,View,False
112,112,Дебіторська заборгованість,11,account.data_account_type_view,View,False
1120,1120,Дебіторська заборгованість за товари та послуги,112,account.data_account_type_receivable,Receivable,True
1121,1121,Відвантажено зі складу без рахунку-фактури,112,account.data_account_type_current_assets,Regular,True
113,113,Попередня оплата постачальникам та інші оборонті активи,11,account.data_account_type_view,View,False
1130,1130,Аванси партнерам,113,account.data_account_type_receivable,Receivable,False
1131,1131,Інші оборотні активи,113,account.data_account_type_current_assets,Regular,False
114,114,"Податки, що компенсуються та попередня оплата за податками",11,account.data_account_type_view,View,False
1140,1140,Аванс по податку на прибуток,114,account.data_account_type_current_assets,Regular,False
1141,1141,Кошти на електронному рахунку з ПДВ,114,account.data_account_type_current_assets,Regular,False
1142,1142,Кошти на лицьовому рахунку з ПДВ,114,account.data_account_type_current_assets,Regular,False
1143,1143,Аванс по ЕСВ,114,account.data_account_type_current_assets,Regular,False
115,115,Короткострокові фінансові інвестиції,11,account.data_account_type_view,View,False
1150,1150,Короткострокові фінансові інвестиції,115,account.data_account_type_current_assets,Regular,False
116,116,Довгострокові інвестиції,11,account.data_account_type_view,View,False
1160,1160,Довгострокові інвестиції,116,account.data_account_type_current_assets,Regular,False
117,117,Довгострокова дебіторська заборгованість,11,account.data_account_type_view,View,False
1170,1170,Довгострокова дебіторська заборгованість,117,account.data_account_type_current_assets,Regular,False
118,118,Відстрочені податкові активи,11,account.data_account_type_view,View,False
1180,1180,Відстрочені податкові активи,118,account.data_account_type_current_assets,Regular,False
