id,c_sti,c_raj,t_sti,name,name_raj
1,528,1,6,ЯСИНУВАТСЬКА ОБ'ЄДНАНА ДПI (АВДIЇВСЬКЕ ВIД-НЯ),М.АВДIЇВКА
2,510,10,2,ДПI У М.ДРУЖКIВЦI ГУ МIНДОХОДIВ У ДОНЕЦЬКIЙ ОБЛАСТI,М.ДРУЖКIВКА
3,511,11,6,ЄНАКIЄВСЬКА ОДПI ГУ МIНДОХОДIВ У ДОНЕЦЬКIЙ ОБЛАСТI,М.ЄНАКIЄВО
4,527,12,6,ШАХТАРСЬКА ОБ'ЄДНАНА ДПI (М.ЖДАНIВКА),М.ЖДАНIВКА
5,527,13,6,ШАХТАРСЬКА ОБ'ЄДНАНА ДПI (КIРОВСЬКЕ ВIД-НЯ),М.КIРОВСЬКЕ
6,514,14,6,КОСТЯНТИНIВСЬКА ОДПI ГУ МIНДОХОДIВ У ДОНЕЦЬКIЙ ОБЛАСТI,М.КОСТЯНТИНIВКА
7,515,15,2,ДПI У М.КРАМАТОРСЬКУ ГУ МIНДОХОДIВ У ДОНЕЦЬКIЙ ОБЛАСТI,М.КРАМАТОРСЬК
8,516,16,6,КРАСНОАРМIЙСЬКА ОДПI ГУ МIНДОХОДIВ У ДОНЕЦЬКIЙ ОБЛАСТI,М.КРАСНОАРМIЙСЬК
9,522,17,6,СЛОВ'ЯНСЬКА ОДПI ГУ МД У ДОН.ОБЛ(КРАСНОЛИМАНСЬКЕ ВIД-Н,М.КРАСНИЙ ЛИМАН
10,518,18,6,МАКIЇВСЬКА ОДПI ГУ МIНДОХОДIВ У ДОНЕЦЬКIЙ ОБЛАСТI,М.МАКIЇВКА
11,519,19,6,МАРIУПОЛЬСЬКА ОДПI ГУ МIНДОХОДIВ У ДОНЕЦЬКIЙ ОБЛАСТI,М.МАРIУПОЛЬ
12,502,2,6,АРТЕМIВСЬКА ОДПI ГУ МIНДОХОДIВ У ДОНЕЦЬКIЙ ОБЛАСТI,М.АРТЕМIВСЬК
13,516,20,6,КРАСНОАРМIЙСЬКА ОБ'ЄДНАНА ДПI (М.НОВОГРОДIВКА),М.НОВОГРОДIВКА
14,516,21,6,КРАСНОАРМIЙСЬКА ОБ'ЄДНАНА ДПI (СЕЛIДIВСЬКЕ ВIД-НЯ),М.СЕЛИДОВЕ
15,522,22,6,СЛОВ'ЯНСЬКА ОДПI ГУ МIНДОХОДIВ У ДОНЕЦЬКIЙ ОБЛАСТI,М.СЛОВ'ЯНСЬК
16,524,23,6,ТОРЕЗЬКА ОБ'ЄДНАНА ДПI (СНIЖНЯНСЬКЕ ВIД-НЯ),М.СНIЖНЕ
17,524,24,6,ТОРЕЗЬКА ОДПI ГУ МIНДОХОДIВ У ДОНЕЦЬКIЙ ОБЛАСТI,М.ТОРЕЗ
18,538,25,6,МАР'ЇНСЬКА ОБ'ЄДНАНА ДПI (ВУГЛЕДАРСЬКЕ ВIД-НЯ),М.ВУГЛЕДАР
19,526,26,2,ДПI У М.ХАРЦИЗЬКУ ГУ МIНДОХОДIВ У ДОНЕЦЬКIЙ ОБЛАСТI,М.ХАРЦИЗЬК
